nome,sexo,instituicao,uf,nivel_bolsa,area_atuacao,ano_conclusao_doutorado,url,google_scholar,vigencia_inicio,vigencia_termino,situacao
George Darmiton da Cunha Cavalcanti,Masculino,UFPE,PE,PQ-B,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=George+Darmiton+da+Cunha+Cavalcanti,,01/08/2025,31/07/2029,Em folha de pagamento
George Luiz Medeiros Teodoro,Masculino,UFMG,MG,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=George+Luiz+Medeiros+Teodoro,,01/03/2024,31/07/2028,Em folha de pagamento
Geraldo Braz Júnior,Masculino,UFMA,MA,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Geraldo+Braz+Júnior,,01/08/2025,31/07/2028,Em folha de pagamento
Geraldo Pereira Rocha Filho,Masculino,UnB,DF,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Geraldo+Pereira+Rocha+Filho,,01/03/2023,31/07/2026,Em folha de pagamento
Geraldo Robson Mateus,Masculino,UFMG,MG,PQ-1A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Geraldo+Robson+Mateus,,01/03/2023,31/07/2028,Em folha de pagamento
Gerson Zaverucha,Masculino,UFRJ,RJ,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gerson+Zaverucha,,01/03/2022,31/07/2026,Em folha de pagamento
Gilson Antonio Giraldi,Indefinido,LNCC,RJ,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gilson+Antonio+Giraldi,,01/03/2024,31/07/2027,Em folha de pagamento
Gisele Lobo Pappa,Indefinido,UFMG,MG,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gisele+Lobo+Pappa,,01/03/2023,31/07/2027,Em folha de pagamento
Gladston Juliano Prates Moreira,Indefinido,UFOP,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gladston+Juliano+Prates+Moreira,,01/03/2023,31/07/2026,Em folha de pagamento
Gleison dos Santos Souza,Indefinido,UNIRIO,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Gleison+dos+Santos+Souza,,01/08/2025,31/07/2028,Em folha de pagamento
